-402, -1339, 1998
-199, -1264, 1696
-43, -1131, 1341
207, -961, 1068
504, -786, 554
594, -733, 174
594, -733, 174
573, -563, -167
-,-,-
-1080, -1224, 214
-1035, -1302, 392
-926, -1315, 473
-915, -1469, 418
-988, -1695, 414
-1025, -1838, 454
-953, -1853, 545
-616, -1811, 556
-137, -1757, 596
326, -1688, 711
668, -1561, 906
906, -1339, 984
1083, -1074, 803
1136, -819, 627
1173, -553, 425
1122, -242, 228
823, 44, 166
823, 44, 166
691, 311, 132
684, 558, 45
546, 847, 47
128, 1126, 76
128, 1126, 76
-431, 1299, -26
-876, 1102, 19
-886, 898, 171
-728, 742, 150
-774, 595, 157
-1095, 529, 401
-1160, 729, 196
-1713, 935, 160
-1998, 878, 413
-1998, 903, 499
-1998, 887, 504
-1998, 719, 640
-1998, 719, 640
-1998, 344, 939
-1998, -234, 973
-1998, -446, 1062
